fingerprint,source_countries,detected_country,protocol,transport,security,status,probe,latency_ms,attempts,recovered_on_retry,reason,first_reason,retry_reason
013a06d6d90fc1a27952a22abe54d3d26acf1ecb32b4308d994824fd394154c4,HK,,vmess,websocket,tls,failed,,,2,False,http: http_status_failed: read tcp4 127.0.0.1:41606->127.0.0.1:33623: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:42262->127.0.0.1:33623: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:41606->127.0.0.1:33623: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:42262->127.0.0.1:33623: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:45652->127.0.0.1:41269: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:45664->127.0.0.1:41269: i/o timeout
01a44bed09a32126b96573fa900a0e11d999637ce7d595ec92c461e9f166ec38,RU,,vless,xhttp,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
02508d9bea568c688a82d3a119c5ec7580f234721b6e98e9740cc65bbfd0ed08,RU,,vless,xhttp,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
02ccac1bb1d5a93cdd3a3e31dad750c4a8e800f0b6b7d0bfa0c413cca9e13a46,US,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
02dbc3cc4eac5fee6a6dc89f5e2522fb2218e6a5beb77bc996b0626eff3018cf,RU,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
02fc08e368045e2d4c983679ee141ecfffc7fcd1702d188b3d3a3ff102831b93,RU,DE,vless,raw,reality,geo_resolved,http,2138,1,False,country_reclassified,country_reclassified,
0466502472b286a9071bea7616f1ec9a657f806c4af0d18dff0f7124ece32d52,RU,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:48586->127.0.0.1:46855: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:54236->127.0.0.1:46855: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:48586->127.0.0.1:46855: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:54236->127.0.0.1:46855: read: connection reset by peer,
04abbf9f863fadfdcff1a96a1dc04b6a0ca244a2c433016a366606092b8226cc,RU,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
05111c1570f4446504dd4b6cc1ccde43dcf1530018f1c8b5876784d9206e2e5e,GB,DE,vless,raw,reality,geo_resolved,http,2373,1,False,country_reclassified,country_reclassified,
051f0c68e36212cbd3c9d8f2421afc6282a919087a1018b7f46e690ec19b0e36,RU,,vless,raw,reality,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:33242->127.0.0.1:44327: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:55126->127.0.0.1:44327: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:33242->127.0.0.1:44327: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:55126->127.0.0.1:44327: read: connection reset by peer,
054a521fb060e32ae329ec0a894c0d5478367dfbc1620515309fbddfe508331d,GB,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
056445751b067594179116d7df4861a527d2f0774aa861aeb6f6c42621278bed,HK,,vmess,websocket,tls,failed,,,2,False,http: http_status_failed: read tcp4 127.0.0.1:36234->127.0.0.1:38867: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:51520->127.0.0.1:38867: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:36234->127.0.0.1:38867: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:51520->127.0.0.1:38867: i/o timeout,http: http_status_failed: read tcp4 127.0.0.1:53306->127.0.0.1:33149: i/o timeout | https: tls_handshake_failed: read tcp4 127.0.0.1:53310->127.0.0.1:33149: i/o timeout
05a3578960bd4fd59044b7f9ae842a7b8ac7bfee88bfa27dbb9a5a186aedf49c,RU,,vless,raw,reality,failed,,,1,False,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,http: http_status_failed: EOF | https: tls_handshake_failed: EOF,
05b055954b593eeab5fc493290e2c0e9e81f0174b6ac516f61b74759ddf9833c,LT,,vless,raw,reality,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:46920->127.0.0.1:45231: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:40334->127.0.0.1:45231: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:46920->127.0.0.1:45231: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:40334->127.0.0.1:45231: read: connection reset by peer,
05f766d7869579e1c12d2dd174ad4ba3006135e00dcb12cdbc2cbaece87914dd,US,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:53262->127.0.0.1:40803: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:44224->127.0.0.1:40803: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:53262->127.0.0.1:40803: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:44224->127.0.0.1:40803: read: connection reset by peer,
0636812dd2b4f6609121ce7c7dfcc632f4fd05c45761f59e29d7385d160f330d,RU,,vless,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:38464->127.0.0.1:37571: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:46394->127.0.0.1:37571: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:38464->127.0.0.1:37571: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:46394->127.0.0.1:37571: read: connection reset by peer,
0684f98e924578f7f698e16e8217503c19ea273035954d30d71efb88975ebffc,RU,DE,vless,raw,reality,geo_resolved,http,3799,1,False,country_reclassified,country_reclassified,
06b47ff6246a052783fd316b8329364d19ae0172717bd4a52457a81569368d8d,GB,,vmess,websocket,tls,failed,,,1,False,http: http_status_failed: read tcp4 127.0.0.1:55278->127.0.0.1:38217: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47998->127.0.0.1:38217: read: connection reset by peer,http: http_status_failed: read tcp4 127.0.0.1:55278->127.0.0.1:38217: read: connection reset by peer | https: tls_handshake_failed: read tcp4 127.0.0.1:47998->127.0.0.1:38217: read: connection reset by peer,
